,Concurso,Numeros,Ganhadores
774,1333,"[3, 4, 5, 7, 8, 9, 10, 11, 12, 14, 17, 18, 20, 22, 24]",3
775,1332,"[1, 4, 5, 6, 8, 11, 12, 13, 14, 15, 16, 18, 20, 21, 24]",1
776,1331,"[1, 2, 3, 5, 6, 7, 10, 11, 14, 15, 16, 18, 23, 24, 25]",6
777,1330,"[4, 5, 7, 10, 12, 13, 16, 17, 18, 19, 20, 22, 23, 24, 25]",0
778,1329,"[2, 3, 4, 5, 7, 10, 11, 13, 15, 16, 18, 22, 23, 24, 25]",4
779,1328,"[2, 5, 6, 8, 9, 10, 13, 15, 16, 17, 21, 22, 23, 24, 25]",1
780,1327,"[1, 3, 4, 5, 7, 10, 13, 14, 16, 17, 18, 20, 22, 23, 25]",3
781,1326,"[1, 3, 4, 6, 8, 9, 10, 17, 18, 19, 20, 21, 22, 24, 25]",0
782,1325,"[2, 3, 5, 6, 7, 9, 10, 14, 15, 16, 18, 19, 20, 21, 25]",1
783,1324,"[1, 4, 5, 6, 7, 8, 10, 11, 13, 17, 18, 19, 21, 24, 25]",2
784,1323,"[1, 4, 5, 6, 9, 10, 11, 13, 14, 17, 19, 20, 21, 22, 23]",7
785,1322,"[1, 2, 6, 7, 8, 9, 11, 13, 15, 16, 17, 18, 21, 24, 25]",3
786,1321,"[2, 3, 4, 6, 7, 9, 10, 11, 13, 14, 18, 19, 20, 23, 24]",3
787,1320,"[2, 3, 4, 5, 9, 11, 12, 13, 15, 16, 17, 21, 22, 23, 25]",3
788,1319,"[3, 5, 6, 8, 9, 10, 11, 13, 14, 15, 17, 19, 22, 23, 25]",12
789,1318,"[1, 2, 3, 4, 6, 7, 8, 9, 12, 13, 14, 15, 17, 20, 23]",4
790,1317,"[1, 3, 5, 7, 8, 9, 10, 11, 14, 16, 20, 22, 23, 24, 25]",3
791,1316,"[1, 2, 3, 4, 5, 6, 11, 12, 15, 17, 19, 20, 23, 24, 25]",2
792,1315,"[1, 2, 3, 4, 5, 8, 10, 11, 12, 14, 16, 18, 19, 23, 25]",5
793,1314,"[3, 5, 8, 9, 10, 11, 14, 15, 16, 18, 19, 21, 22, 24, 25]",2
794,1313,"[1, 4, 8, 10, 11, 13, 15, 16, 17, 20, 21, 22, 23, 24, 25]",4
795,1312,"[1, 2, 4, 5, 6, 7, 9, 11, 13, 18, 19, 20, 23, 24, 25]",5
796,1311,"[2, 3, 5, 6, 8, 10, 11, 12, 14, 15, 17, 18, 20, 23, 25]",9
797,1310,"[1, 2, 3, 4, 5, 7, 8, 10, 11, 15, 17, 18, 19, 21, 23]",2
798,1309,"[2, 4, 5, 6, 8, 10, 12, 13, 14, 16, 18, 19, 20, 24, 25]",4
799,1308,"[3, 5, 6, 7, 8, 9, 11, 14, 16, 17, 19, 20, 22, 23, 25]",1
800,1307,"[3, 4, 6, 8, 9, 10, 12, 13, 14, 15, 16, 18, 20, 21, 23]",1
801,1306,"[1, 2, 5, 6, 7, 9, 12, 13, 14, 15, 18, 19, 20, 22, 23]",0
802,1305,"[2, 3, 4, 5, 6, 7, 8, 11, 12, 13, 15, 17, 20, 23, 25]",0
803,1304,"[1, 2, 3, 7, 8, 10, 11, 13, 14, 17, 18, 19, 20, 21, 25]",3
804,1303,"[1, 5, 8, 9, 10, 11, 13, 14, 15, 16, 18, 19, 20, 22, 23]",3
805,1302,"[3, 4, 6, 9, 11, 12, 13, 14, 15, 16, 17, 18, 20, 22, 25]",2
806,1301,"[1, 2, 3, 4, 6, 7, 9, 10, 14, 16, 17, 19, 22, 24, 25]",1
807,1300,"[2, 6, 7, 9, 10, 11, 12, 13, 14, 15, 18, 20, 23, 24, 25]",2
808,1299,"[1, 3, 5, 7, 8, 11, 13, 17, 18, 19, 20, 21, 22, 23, 25]",2
809,1298,"[2, 3, 4, 6, 7, 9, 12, 17, 18, 20, 21, 22, 23, 24, 25]",2
810,1297,"[1, 2, 5, 6, 7, 8, 9, 10, 11, 12, 16, 17, 18, 19, 22]",4
811,1296,"[5, 7, 9, 10, 11, 14, 15, 16, 17, 18, 19, 20, 21, 23, 25]",1
812,1295,"[3, 6, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 23, 24, 25]",2
813,1294,"[2, 5, 6, 7, 8, 10, 11, 12, 13, 14, 16, 18, 20, 23, 25]",2
814,1293,"[1, 2, 7, 8, 9, 10, 11, 12, 13, 15, 17, 18, 20, 22, 24]",5
815,1292,"[1, 2, 3, 7, 8, 10, 11, 14, 15, 17, 19, 22, 23, 24, 25]",5
816,1291,"[1, 6, 7, 8, 10, 11, 12, 13, 15, 16, 18, 19, 20, 21, 24]",0
817,1290,"[1, 3, 4, 5, 6, 11, 13, 14, 16, 19, 20, 21, 22, 23, 25]",0
818,1289,"[1, 2, 5, 7, 8, 11, 13, 15, 16, 17, 18, 20, 22, 24, 25]",10
819,1288,"[1, 2, 5, 9, 10, 13, 15, 16, 17, 18, 19, 20, 23, 24, 25]",1
820,1287,"[3, 4, 5, 6, 9, 11, 13, 17, 18, 19, 21, 22, 23, 24, 25]",1
821,1286,"[1, 3, 4, 5, 7, 10, 11, 12, 16, 17, 19, 20, 21, 23, 25]",3
822,1285,"[1, 2, 6, 7, 10, 11, 12, 15, 16, 17, 18, 20, 22, 24, 25]",2
823,1284,"[2, 4, 5, 7, 8, 10, 11, 13, 16, 17, 18, 20, 22, 23, 25]",8
824,1283,"[2, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 22, 23]",1
825,1282,"[5, 6, 7, 9, 10, 11, 12, 14, 17, 19, 20, 21, 22, 23, 25]",1
826,1281,"[1, 3, 5, 6, 8, 9, 12, 13, 15, 19, 21, 22, 23, 24, 25]",3
827,1280,"[1, 3, 4, 5, 7, 9, 11, 14, 15, 17, 19, 22, 23, 24, 25]",3
828,1279,"[1, 3, 4, 7, 8, 9, 11, 12, 13, 14, 16, 18, 19, 21, 23]",2
829,1278,"[4, 6, 7, 9, 10, 12, 15, 16, 17, 18, 19, 20, 21, 22, 24]",2
830,1277,"[1, 2, 3, 4, 6, 9, 10, 12, 13, 15, 17, 18, 21, 22, 25]",3
831,1276,"[1, 3, 5, 7, 10, 12, 14, 15, 16, 18, 19, 21, 22, 23, 24]",6
832,1275,"[3, 6, 7, 8, 10, 11, 13, 14, 15, 16, 17, 18, 20, 23, 25]",3
833,1274,"[1, 3, 7, 8, 10, 11, 12, 13, 14, 15, 18, 19, 20, 22, 25]",0
834,1273,"[1, 3, 5, 6, 8, 11, 12, 13, 14, 15, 18, 19, 20, 22, 24]",2
835,1272,"[1, 4, 7, 9, 10, 14, 15, 17, 18, 19, 20, 21, 23, 24, 25]",2
836,1271,"[1, 2, 4, 6, 8, 9, 11, 12, 13, 14, 17, 18, 23, 24, 25]",4
837,1270,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 13, 20, 21, 23, 25]",1
838,1269,"[1, 4, 5, 7, 8, 11, 13, 14, 16, 17, 18, 20, 21, 22, 23]",1
839,1268,"[1, 2, 3, 6, 7, 8, 11, 12, 13, 15, 17, 18, 21, 22, 24]",7
840,1267,"[2, 3, 5, 6, 7, 9, 11, 12, 13, 15, 16, 17, 18, 22, 25]",2
841,1266,"[1, 2, 3, 5, 6, 8, 9, 10, 11, 13, 14, 15, 20, 23, 24]",2
842,1265,"[1, 2, 3, 4, 7, 11, 13, 14, 15, 16, 19, 22, 23, 24, 25]",1
843,1264,"[1, 4, 5, 8, 10, 11, 12, 14, 17, 18, 21, 22, 23, 24, 25]",3
844,1263,"[3, 4, 5, 8, 9, 10, 11, 12, 13, 16, 18, 20, 22, 23, 25]",5
845,1262,"[1, 3, 4, 6, 8, 11, 12, 13, 16, 17, 20, 21, 22, 23, 24]",2
846,1261,"[1, 4, 5, 7, 10, 12, 15, 16, 17, 18, 19, 20, 21, 22, 25]",1
847,1260,"[1, 2, 3, 4, 5, 6, 7, 11, 14, 15, 17, 18, 20, 22, 24]",3
848,1259,"[2, 5, 8, 9, 10, 13, 14, 16, 17, 18, 19, 20, 22, 23, 25]",2
849,1258,"[2, 3, 4, 5, 6, 8, 9, 10, 12, 13, 14, 20, 21, 23, 25]",3
850,1257,"[1, 2, 5, 6, 8, 10, 11, 12, 13, 14, 16, 19, 20, 22, 25]",4
851,1256,"[1, 2, 6, 8, 10, 11, 12, 13, 14, 15, 16, 18, 19, 22, 23]",0
852,1255,"[1, 2, 4, 6, 7, 9, 10, 13, 14, 16, 18, 20, 21, 23, 25]",51
853,1254,"[2, 3, 8, 9, 11, 12, 14, 15, 16, 17, 18, 20, 21, 22, 23]",3
854,1253,"[1, 2, 3, 5, 6, 7, 11, 15, 16, 18, 20, 22, 23, 24, 25]",0
855,1252,"[1, 3, 4, 5, 6, 8, 9, 10, 11, 12, 15, 20, 21, 23, 24]",1
856,1251,"[2, 6, 7, 8, 9, 10, 14, 15, 16, 17, 19, 20, 21, 23, 25]",1
857,1250,"[2, 3, 4, 5, 7, 9, 10, 14, 15, 17, 18, 19, 20, 24, 25]",3
858,1249,"[3, 4, 5, 6, 9, 12, 13, 14, 15, 18, 19, 20, 22, 24, 25]",2
859,1248,"[1, 3, 5, 10, 11, 12, 13, 15, 16, 17, 19, 20, 22, 24, 25]",1
860,1247,"[2, 3, 7, 8, 9, 11, 15, 16, 17, 18, 19, 20, 23, 24, 25]",1
861,1246,"[1, 4, 7, 8, 9, 10, 12, 13, 16, 17, 18, 19, 22, 24, 25]",2
862,1245,"[2, 3, 4, 5, 6, 8, 9, 11, 15, 16, 17, 18, 19, 21, 25]",0
863,1244,"[1, 3, 5, 7, 9, 10, 11, 12, 13, 16, 17, 19, 21, 23, 25]",37
864,1243,"[1, 2, 4, 5, 6, 8, 12, 13, 14, 15, 16, 17, 22, 24, 25]",2
865,1242,"[1, 2, 4, 5, 7, 11, 14, 15, 16, 19, 20, 21, 23, 24, 25]",0
866,1241,"[1, 4, 5, 8, 9, 10, 11, 12, 13, 15, 17, 20, 22, 24, 25]",1
867,1240,"[1, 2, 3, 4, 5, 6, 9, 12, 13, 16, 18, 19, 20, 22, 24]",3
868,1239,"[5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 20, 22, 24]",2
869,1238,"[2, 3, 5, 7, 8, 9, 11, 13, 14, 15, 16, 17, 18, 21, 25]",2
870,1237,"[3, 5, 6, 7, 8, 9, 10, 12, 13, 14, 18, 21, 22, 24, 25]",1
871,1236,"[1, 2, 3, 5, 6, 7, 9, 10, 11, 12, 13, 17, 19, 23, 25]",9
872,1235,"[1, 2, 3, 4, 6, 9, 10, 11, 12, 13, 15, 17, 18, 20, 24]",1
873,1234,"[1, 2, 5, 8, 9, 10, 14, 16, 17, 18, 19, 20, 21, 24, 25]",1
874,1233,"[1, 4, 5, 9, 10, 13, 14, 15, 16, 17, 18, 19, 22, 23, 25]",3
875,1232,"[2, 3, 5, 6, 9, 10, 13, 14, 15, 16, 19, 21, 23, 24, 25]",1
876,1231,"[1, 3, 4, 5, 7, 8, 12, 13, 15, 16, 18, 20, 21, 22, 25]",2
877,1230,"[1, 2, 3, 5, 6, 7, 8, 10, 11, 12, 13, 17, 18, 19, 21]",1
878,1229,"[1, 2, 3, 5, 6, 7, 8, 13, 14, 17, 19, 20, 22, 24, 25]",4
879,1228,"[1, 2, 3, 4, 6, 7, 9, 10, 12, 13, 17, 20, 22, 23, 24]",2
880,1227,"[1, 2, 7, 8, 9, 10, 11, 12, 13, 14, 17, 19, 21, 22, 25]",2
881,1226,"[1, 3, 5, 7, 8, 10, 11, 14, 15, 17, 19, 21, 22, 23, 24]",3
882,1225,"[1, 3, 5, 7, 8, 10, 11, 14, 15, 17, 19, 21, 22, 23, 24]",3
883,1224,"[1, 2, 4, 5, 6, 8, 9, 11, 12, 14, 15, 16, 17, 18, 19]",4
884,1223,"[2, 6, 7, 8, 9, 10, 13, 14, 16, 17, 18, 20, 21, 22, 23]",1
885,1222,"[1, 2, 3, 4, 5, 8, 9, 10, 11, 13, 15, 17, 20, 22, 24]",5
886,1221,"[2, 3, 4, 6, 9, 10, 12, 14, 15, 18, 19, 21, 22, 23, 24]",2
887,1220,"[2, 3, 4, 5, 6, 7, 9, 13, 14, 17, 18, 19, 20, 23, 25]",4
888,1219,"[2, 3, 4, 5, 6, 8, 9, 10, 14, 16, 19, 20, 22, 23, 25]",0
889,1218,"[1, 2, 3, 4, 5, 7, 9, 10, 11, 13, 14, 18, 20, 21, 23]",1
890,1217,"[1, 3, 6, 7, 8, 9, 10, 11, 12, 13, 17, 19, 20, 24, 25]",1
891,1216,"[1, 2, 3, 7, 10, 12, 14, 15, 17, 18, 20, 21, 22, 23, 24]",1
892,1215,"[3, 7, 9, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 24]",2
893,1214,"[1, 2, 3, 4, 5, 7, 8, 9, 13, 14, 18, 19, 20, 21, 23]",2
894,1213,"[2, 3, 5, 6, 7, 8, 9, 10, 14, 17, 18, 20, 23, 24, 25]",6
895,1212,"[1, 2, 3, 5, 6, 7, 8, 9, 10, 15, 16, 17, 18, 20, 24]",4
896,1211,"[1, 2, 3, 5, 7, 10, 11, 12, 13, 15, 16, 17, 20, 23, 24]",2
897,1210,"[1, 2, 4, 8, 10, 11, 13, 15, 16, 18, 19, 20, 21, 22, 25]",13
898,1209,"[3, 4, 5, 7, 8, 9, 10, 11, 14, 15, 16, 18, 19, 20, 24]",3
899,1208,"[1, 2, 3, 4, 5, 10, 11, 14, 15, 18, 19, 20, 22, 24, 25]",1
900,1207,"[1, 3, 4, 7, 9, 10, 11, 12, 13, 14, 15, 18, 19, 21, 24]",2
901,1206,"[1, 3, 5, 7, 10, 11, 13, 14, 15, 18, 21, 22, 23, 24, 25]",7
902,1205,"[1, 3, 6, 8, 9, 11, 12, 14, 17, 18, 20, 21, 22, 24, 25]",2
903,1204,"[1, 2, 5, 7, 8, 9, 12, 13, 15, 16, 19, 20, 21, 22, 23]",8
904,1203,"[1, 2, 3, 5, 6, 11, 12, 13, 14, 15, 17, 22, 23, 24, 25]",4
905,1202,"[2, 3, 4, 8, 10, 13, 14, 16, 17, 18, 19, 20, 23, 24, 25]",5
906,1201,"[5, 6, 9, 10, 11, 14, 16, 18, 19, 20, 21, 22, 23, 24, 25]",2
907,1200,"[3, 4, 5, 6, 7, 8, 10, 11, 12, 14, 15, 16, 22, 24, 25]",2
908,1199,"[1, 2, 3, 4, 5, 6, 10, 14, 15, 16, 19, 21, 22, 24, 25]",2
909,1198,"[1, 3, 4, 6, 7, 9, 10, 11, 15, 17, 20, 21, 22, 23, 25]",1
910,1197,"[1, 4, 5, 6, 7, 8, 11, 13, 14, 16, 17, 18, 20, 24, 25]",3
911,1196,"[1, 2, 4, 6, 7, 8, 9, 11, 12, 16, 17, 18, 19, 20, 23]",3
912,1195,"[1, 5, 6, 9, 10, 11, 12, 14, 15, 17, 18, 19, 20, 22, 25]",2
913,1194,"[2, 4, 8, 9, 10, 12, 15, 16, 17, 18, 19, 22, 23, 24, 25]",1
914,1193,"[1, 4, 7, 8, 9, 10, 13, 14, 15, 18, 19, 20, 22, 23, 25]",1
915,1192,"[1, 2, 3, 4, 5, 6, 9, 11, 12, 13, 15, 16, 19, 20, 21]",1
916,1191,"[1, 2, 3, 5, 7, 10, 12, 13, 14, 16, 17, 18, 22, 24, 25]",1
917,1190,"[2, 3, 4, 6, 9, 10, 11, 14, 15, 16, 17, 21, 22, 23, 25]",1
918,1189,"[3, 4, 5, 8, 9, 12, 13, 14, 15, 17, 18, 19, 20, 21, 25]",6
919,1188,"[1, 2, 4, 5, 6, 8, 10, 12, 13, 14, 18, 20, 22, 23, 24]",4
920,1187,"[1, 2, 4, 7, 8, 10, 11, 12, 14, 16, 19, 21, 22, 23, 25]",9
921,1186,"[1, 2, 4, 5, 6, 9, 11, 14, 15, 16, 18, 20, 22, 23, 24]",4
922,1185,"[3, 5, 6, 7, 9, 13, 14, 16, 18, 19, 21, 22, 23, 24, 25]",3
923,1184,"[2, 4, 6, 7, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 25]",1
924,1183,"[1, 3, 4, 9, 11, 13, 14, 15, 16, 18, 19, 20, 22, 24, 25]",3
925,1182,"[3, 6, 7, 8, 10, 12, 13, 16, 18, 19, 20, 21, 22, 24, 25]",3
926,1181,"[3, 4, 5, 6, 7, 8, 9, 11, 13, 14, 20, 21, 22, 23, 24]",3
927,1180,"[1, 2, 6, 7, 8, 9, 10, 11, 13, 14, 15, 19, 20, 22, 23]",0
928,1179,"[1, 2, 3, 5, 6, 7, 8, 9, 13, 15, 18, 19, 20, 21, 25]",3
929,1178,"[1, 4, 7, 8, 9, 11, 12, 16, 17, 18, 19, 20, 21, 23, 24]",3
930,1177,"[2, 3, 5, 6, 8, 9, 10, 11, 12, 16, 17, 20, 22, 23, 25]",3
931,1176,"[2, 3, 5, 7, 10, 11, 12, 13, 15, 16, 18, 19, 20, 23, 25]",3
932,1175,"[1, 3, 4, 8, 10, 12, 13, 14, 15, 19, 20, 21, 23, 24, 25]",1
933,1174,"[1, 2, 3, 5, 6, 8, 9, 10, 11, 13, 15, 17, 18, 19, 23]",7
934,1173,"[1, 2, 4, 5, 7, 8, 9, 11, 14, 16, 18, 19, 20, 21, 22]",1
935,1172,"[2, 6, 8, 9, 10, 11, 12, 13, 14, 16, 19, 20, 23, 24, 25]",1
936,1171,"[1, 7, 8, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23]",1
937,1170,"[1, 2, 4, 7, 8, 10, 13, 15, 16, 18, 19, 20, 21, 22, 25]",3
938,1169,"[2, 3, 4, 7, 8, 9, 12, 15, 16, 17, 18, 21, 22, 24, 25]",4
939,1168,"[1, 3, 4, 5, 7, 8, 9, 10, 11, 13, 16, 19, 23, 24, 25]",5
940,1167,"[1, 2, 4, 5, 7, 8, 9, 11, 12, 14, 15, 16, 18, 21, 23]",4
941,1166,"[2, 4, 5, 6, 9, 10, 12, 14, 15, 17, 18, 19, 20, 21, 24]",3
942,1165,"[1, 2, 3, 5, 8, 9, 10, 12, 15, 17, 18, 19, 21, 22, 25]",2
943,1164,"[1, 2, 3, 5, 8, 9, 10, 12, 15, 17, 18, 19, 21, 22, 25]",2
944,1163,"[3, 4, 5, 8, 10, 11, 13, 15, 17, 20, 21, 22, 23, 24, 25]",7
945,1162,"[1, 3, 4, 7, 9, 11, 13, 15, 18, 19, 20, 21, 23, 24, 25]",11
946,1161,"[1, 2, 4, 5, 6, 8, 10, 11, 15, 17, 18, 19, 22, 24, 25]",5
947,1160,"[2, 4, 5, 6, 7, 8, 10, 11, 15, 16, 17, 18, 21, 22, 25]",3
948,1159,"[1, 2, 3, 4, 6, 8, 9, 14, 15, 16, 17, 22, 23, 24, 25]",3
949,1158,"[2, 3, 5, 7, 10, 13, 14, 15, 16, 17, 19, 20, 22, 24, 25]",9
950,1157,"[2, 4, 5, 6, 7, 8, 11, 12, 13, 15, 16, 18, 21, 22, 24]",6
951,1156,"[1, 3, 4, 6, 7, 11, 12, 13, 14, 15, 17, 21, 22, 24, 25]",0
952,1155,"[1, 2, 3, 4, 8, 9, 12, 13, 15, 16, 18, 19, 22, 24, 25]",8
953,1154,"[1, 3, 4, 5, 10, 11, 13, 15, 16, 17, 19, 21, 23, 24, 25]",0
954,1153,"[1, 2, 3, 5, 6, 8, 9, 12, 13, 15, 18, 19, 20, 24, 25]",3
955,1152,"[3, 4, 5, 7, 8, 9, 10, 12, 16, 18, 19, 20, 21, 22, 25]",2
956,1151,"[1, 3, 7, 9, 10, 11, 12, 14, 15, 16, 20, 21, 22, 24, 25]",4
957,1150,"[5, 7, 8, 9, 11, 12, 13, 14, 15, 17, 18, 20, 22, 23, 24]",2
958,1149,"[1, 2, 3, 6, 7, 8, 10, 12, 15, 17, 18, 19, 21, 22, 23]",2
959,1148,"[1, 3, 4, 5, 6, 9, 10, 13, 14, 16, 17, 18, 19, 20, 24]",2
960,1147,"[1, 6, 7, 8, 9, 11, 12, 14, 15, 16, 18, 19, 20, 22, 25]",1
961,1146,"[2, 3, 4, 5, 7, 11, 13, 15, 17, 18, 19, 21, 22, 24, 25]",4
962,1145,"[3, 4, 5, 6, 8, 9, 11, 13, 14, 15, 16, 17, 18, 23, 24]",6
963,1144,"[2, 3, 4, 6, 7, 8, 10, 13, 14, 17, 18, 19, 23, 24, 25]",6
964,1143,"[1, 3, 4, 6, 10, 11, 12, 13, 14, 16, 17, 18, 23, 24, 25]",4
965,1142,"[2, 4, 7, 8, 9, 10, 12, 13, 15, 16, 19, 20, 22, 23, 24]",2
966,1141,"[5, 6, 9, 10, 11, 12, 13, 15, 16, 17, 18, 22, 23, 24, 25]",4
967,1140,"[3, 4, 5, 6, 7, 8, 10, 15, 18, 19, 20, 21, 23, 24, 25]",0
968,1139,"[1, 2, 3, 6, 11, 13, 14, 15, 16, 17, 18, 19, 21, 22, 25]",1
969,1138,"[1, 2, 3, 5, 6, 7, 10, 11, 13, 15, 16, 18, 20, 21, 22]",4
970,1137,"[2, 4, 5, 7, 8, 9, 10, 11, 12, 15, 19, 20, 21, 23, 25]",2
971,1136,"[1, 2, 5, 6, 7, 9, 10, 11, 15, 17, 18, 19, 21, 22, 24]",4
972,1135,"[3, 4, 5, 8, 9, 10, 12, 15, 16, 17, 18, 19, 23, 24, 25]",4
973,1134,"[1, 2, 4, 8, 10, 11, 12, 13, 14, 15, 17, 18, 20, 23, 25]",5
974,1133,"[2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 16, 18, 24, 25]",2
975,1132,"[1, 2, 6, 7, 8, 9, 11, 12, 13, 14, 17, 21, 22, 23, 24]",2
976,1131,"[2, 3, 4, 6, 12, 14, 15, 16, 17, 19, 20, 21, 22, 24, 25]",2
977,1130,"[1, 2, 5, 8, 10, 11, 12, 13, 14, 15, 17, 20, 22, 24, 25]",3
978,1129,"[2, 3, 4, 5, 7, 8, 12, 13, 16, 17, 18, 19, 21, 22, 23]",5
979,1128,"[1, 2, 3, 4, 6, 7, 10, 11, 12, 14, 16, 17, 20, 24, 25]",1
980,1127,"[1, 3, 4, 6, 8, 9, 11, 13, 14, 15, 16, 17, 22, 23, 24]",1
981,1126,"[3, 5, 6, 7, 8, 12, 13, 16, 17, 18, 19, 22, 23, 24, 25]",2
982,1125,"[1, 3, 4, 6, 9, 11, 12, 13, 15, 16, 17, 18, 21, 22, 25]",3
983,1124,"[1, 3, 4, 5, 6, 8, 10, 12, 13, 15, 19, 21, 22, 24, 25]",3
984,1123,"[2, 4, 6, 7, 8, 10, 11, 13, 15, 16, 17, 19, 22, 23, 24]",7
985,1122,"[2, 3, 7, 10, 11, 12, 13, 14, 16, 19, 20, 21, 23, 24, 25]",4
986,1121,"[1, 2, 4, 5, 6, 8, 9, 11, 12, 17, 18, 20, 22, 23, 25]",3
987,1120,"[2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 19, 24]",2
988,1119,"[1, 2, 3, 5, 6, 7, 8, 10, 12, 14, 15, 17, 18, 20, 23]",6
989,1118,"[1, 2, 5, 6, 8, 10, 11, 13, 14, 15, 20, 21, 23, 24, 25]",7
990,1117,"[1, 2, 3, 5, 7, 8, 11, 12, 13, 14, 15, 16, 19, 21, 23]",3
991,1116,"[1, 2, 3, 4, 5, 6, 9, 12, 15, 17, 18, 21, 22, 24, 25]",4
992,1115,"[2, 3, 7, 8, 9, 10, 11, 12, 17, 18, 20, 22, 23, 24, 25]",3
993,1114,"[1, 2, 3, 4, 5, 6, 8, 10, 11, 12, 15, 18, 19, 20, 22]",4
994,1113,"[1, 3, 6, 7, 9, 12, 13, 14, 15, 17, 19, 20, 22, 24, 25]",4
995,1112,"[1, 2, 3, 6, 7, 8, 12, 13, 15, 16, 17, 18, 20, 22, 24]",5
996,1111,"[2, 3, 4, 6, 9, 11, 12, 13, 14, 15, 16, 22, 23, 24, 25]",4
997,1110,"[1, 2, 3, 4, 6, 9, 10, 15, 17, 18, 19, 20, 22, 24, 25]",0
998,1109,"[1, 4, 5, 6, 7, 8, 9, 10, 11, 17, 18, 19, 20, 21, 25]",2
999,1108,"[1, 2, 4, 5, 7, 8, 9, 12, 13, 14, 17, 21, 22, 24, 25]",4
1000,1107,"[1, 2, 4, 8, 9, 10, 11, 12, 14, 16, 18, 19, 20, 21, 24]",7
1001,1106,"[2, 3, 4, 9, 10, 11, 12, 13, 14, 15, 16, 19, 21, 23, 24]",4
1002,1105,"[1, 2, 4, 6, 7, 9, 11, 13, 15, 17, 18, 20, 23, 24, 25]",15
1003,1104,"[2, 5, 6, 8, 9, 11, 13, 14, 15, 16, 18, 19, 21, 22, 23]",6
1004,1103,"[2, 4, 5, 7, 9, 10, 11, 12, 14, 16, 18, 20, 21, 22, 25]",21
1005,1102,"[2, 3, 5, 6, 8, 12, 14, 15, 18, 19, 20, 21, 22, 23, 24]",43
1006,1101,"[1, 2, 3, 6, 9, 10, 11, 13, 15, 17, 18, 19, 23, 24, 25]",4
1007,1100,"[5, 6, 7, 9, 10, 11, 12, 14, 15, 16, 18, 19, 20, 23, 24]",6
1008,1099,"[2, 3, 6, 7, 8, 11, 12, 13, 14, 16, 21, 22, 23, 24, 25]",0
1009,1098,"[3, 4, 5, 7, 8, 10, 11, 12, 14, 15, 16, 18, 23, 24, 25]",6
1010,1097,"[4, 5, 6, 9, 10, 12, 14, 15, 16, 18, 19, 20, 23, 24, 25]",2
1011,1096,"[1, 2, 4, 7, 8, 10, 12, 13, 14, 15, 20, 21, 22, 23, 25]",1
1012,1095,"[2, 3, 5, 6, 7, 9, 15, 16, 17, 18, 21, 22, 23, 24, 25]",5
1013,1094,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 12, 14, 16, 19, 22, 25]",1
1014,1093,"[1, 2, 4, 5, 6, 9, 10, 11, 13, 18, 21, 22, 23, 24, 25]",6
1015,1092,"[4, 5, 8, 9, 11, 12, 13, 14, 15, 18, 19, 20, 22, 24, 25]",0
1016,1091,"[2, 4, 5, 6, 7, 9, 10, 12, 13, 14, 16, 20, 23, 24, 25]",1
1017,1090,"[3, 5, 8, 9, 10, 11, 13, 14, 15, 17, 18, 20, 21, 22, 24]",6
1018,1089,"[2, 3, 4, 6, 8, 12, 13, 14, 15, 16, 19, 21, 22, 23, 24]",6
1019,1088,"[1, 2, 3, 5, 6, 7, 9, 10, 12, 13, 18, 19, 20, 22, 23]",3
1020,1087,"[2, 3, 4, 6, 9, 12, 13, 16, 17, 18, 19, 20, 21, 23, 24]",3
1021,1086,"[2, 4, 5, 7, 10, 12, 13, 15, 17, 18, 19, 21, 22, 23, 24]",6
1022,1085,"[3, 6, 7, 8, 9, 10, 14, 16, 18, 19, 21, 22, 23, 24, 25]",4
1023,1084,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 13, 17, 18, 21, 24, 25]",4
1024,1083,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 13, 17, 18, 21, 24, 25]",4
1025,1082,"[3, 7, 9, 10, 11, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]",2
1026,1081,"[1, 5, 6, 7, 10, 12, 13, 14, 15, 16, 18, 19, 21, 22, 23]",2
1027,1080,"[2, 3, 5, 6, 10, 11, 12, 14, 15, 16, 17, 21, 22, 23, 25]",2
1028,1079,"[5, 6, 7, 8, 11, 13, 14, 15, 16, 17, 19, 20, 21, 22, 24]",4
1029,1078,"[2, 4, 5, 6, 7, 9, 10, 11, 13, 17, 18, 21, 23, 24, 25]",2
1030,1077,"[1, 2, 5, 6, 7, 8, 10, 12, 13, 14, 15, 19, 20, 21, 24]",3
1031,1076,"[4, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 25]",3
